artist,price,date,venue,songid1,songid2
Russ,$43.95-$64.95,11-02-2018,Pepsi Center,4cxMGhkinTocPSVVKWIw0d,26OhjtaTamFocE08t83ml6
Nicki Minaj,$76-$182,11-06-2018,Pepsi Center,3L4GsGLgxpHieVQH86H8bv,1e4rwBPVI32vZtTJu7mJ4J
Future,$76-$182,11-06-2018,Pepsi Center,0VgkVdmE4gld66l8iyGjgx,51rXHuKN8Loc4sUlKPODgH
Los Tigres del Norte,TBA,11-18-2018,Pepsi Center,0tzixmHNQfE6S6SirSToxW,19Tx1GJy2JGJP43yjZUK6u
Alejandro Fernandez,TBA,11-18-2018,Pepsi Center,4NUt1fcnO9aQAELBgXq3Kr,1OJkKHmXsZVKtWlECdpDAe
Twenty One Pilots,TBA,11-19-2018,Pepsi Center,3CRDbSIZ4r5MsZ0YwxuEkn,6cQnrSlTxhHCCiUpKrs7g3
Fleetwood Mac,$69.50-$199.50,12-03-2018,Pepsi Center,0ofHAoxe9vBkTCp2UQIavz,5e9TFTbltYBg2xThimr0rU
Justin Timberlake,$54-$254.50,01-29-2019,Pepsi Center,1LhMopPAallLeaeNutqbgS,1WkMMavIMc4JZ8cfMmxHkI
Elton John,$59.50-$249.50,02-06-2019,Pepsi Center,3gdewACMIVMEWVbyb8O9sY,2TVxnKdb3tqe1nhQWwwZCO
P!NK,$47.45-$499.95,04-01-2019,Pepsi Center,0Qh38w01QRXK6KHIv0e3hb,4VC5nFbYO4avKksJ9jN4pY
