artist,price,date,venue,songid1,songid2,deleted
Flamingosis,$12-$20,02-08-2019,Gothic Theatre,6i3i8Mm2ul9SdYxPWVnoDp,4hokeG0HFC4tuatP7SVaJI,False
The Orcastrator,$15/$17,02-14-2019,Bluebird Theater,4veY0pmp9r12wMNJRuIqrX,1NUCjEDf8lpgiwHLFRavF2,False
Morphics,$15/$17,02-14-2019,Bluebird Theater,0w0IKc21XYzayflS8gmyYt,2oeBBLyJn0Vb75SsLQCwMr,False
Andy Immerman,$15/$17,02-14-2019,Bluebird Theater,5a0U6Zj3YnjUxfLTgaExUR,4WTKPrgRxQoIZBbvBT2Mvg,False
Evanoff,$15/$18,02-15-2019,Bluebird Theater,1JbinDUUcgBl8wgzUIeZm3,5Po2VlH3t7WQWPJFvr1nZI,False
Hippie Sabotage,$30,02-16-2019,Fillmore Auditorium,7MiZjKawmXTsTNePyTfPyL,62N2JSA0jHmSH7Va9t7hIf,False
One OK Rock,$27.50,02-20-2019,Gothic Theatre,4f3nDjgqXurMryYBSp0TZD,0YAMQSmHk6BSUGTYpaoqTJ,False
Stand Atlantic,$27.50,02-20-2019,Gothic Theatre,5bJW3GFEgVklsym3fmCCaL,7s7xOgct7HWsNjGO3YOtqt,False
Boogie T,$25-$28,02-22-2019,Ogden Theatre,4OwCz4D1JvgPkNjyGrfSAH,6LVysSJyr2YChIQJTzGh93,False
Donavon Frankenreiter,$25.75-$30,03-01-2019,Bluebird Theater,2BJy5YrRMhVCqaLNY5cbv2,2UjGyCvayHjGihV3oLhD8a,False
Cherry Glazerr,$15-$20,03-01-2019,Gothic Theatre,5n4FL8FgHZQaJ2GuwMN9F8,2e8C8IP26QEhzX00o4UxS4,False
Chelsea Cutler,$18/$20,03-15-2019,Bluebird Theater,7bdYxWPCs46dQ0XLwySOyv,3TgPhPv7z0D4pQhH8iKmDW,False
Dear Rouge,$18/$20,03-21-2019,Bluebird Theater,1HqOKMf8bNLaEPvd8NXx3c,5r0g9Zk7KUYOYjWXP4mO8S,False
Arkells,$18/$20,03-21-2019,Bluebird Theater,1NJC4SXdmFqeDbNO6HtKrh,7DCryJG2u3ZTaL0M47dwZc,False
12th Planet,$20-$75,03-28-2019,Ogden Theatre,5Nz2BnJroLw1HPDeynxWGx,11ZJb66Ag7gjTmLBKF8ZuZ,False
Gentlemens Club,$20-$75,03-28-2019,Ogden Theatre,2sVKhComdA9GEofOOD5eMN,29P8nJQ6MUwRVem4d2GvSD,False
The Interrupters,$24,04-05-2019,Ogden Theatre,60FJeNTK5edr72G2xtCWuP,2MWC3IWfhh3IteOUPbtogB,False
Conan Gray,$20,04-12-2019,Bluebird Theater,0cXRafInOlc1QH519RXltN,7tNhwv2FmI6a1mgIReSXR6,False
The Dandy Warhols,$25.75-$60,05-14-2019,Gothic Theatre,0yEhNqCwEfy8LHUmnZoHpP,7hpFYWL3cw5m4y70cce7Zb,False
Tech N9ne,$37,05-17-2019,Fillmore Auditorium,0kIHfcHGFGm5xb0dSlKEdp,0I0wn4G67txQwENcmRH3d6,False
Tech N9ne,$37,05-18-2019,Fillmore Auditorium,0kIHfcHGFGm5xb0dSlKEdp,0I0wn4G67txQwENcmRH3d6,False
Kevin Morby,$22.50/$25,05-18-2019,Bluebird Theater,4equkWkj4HbZD3OXHhpdnH,0prVUHQu2xr6pI5iEbKtxo,False
Jared & the Mill,$15/$18,06-01-2019,Bluebird Theater,5gvZPXI9AWUYhNG5t97It0,2hRBqxdkYuFySfyEkcsPOp,False
LANY,TBA,06-10-2019,Fillmore Auditorium,0Eqg0CQ7bK3RQIMPw1A7pl,7GbAp0HKPQW7WnFJAzMoRk,False
Jon Bellion,$45,07-21-2019,Fillmore Auditorium,0SuLAslEMFZAXf0SwY7syi,4FUDWkguOUVpLRAVn5C20z,False
Hot Water Music,$35,07-26-2019,Bluebird Theater,48KXO9gBcRTrzWVQx1ET3r,0bEwPQwwgFyCvsqLkVOWhh,False
Now, Now,$26-$28,01-26-2019,Ogden Theatre,4pk6I8l87QhPwvWT5Wan0Q,3speBfGPCck1oe47EBPnhh,False
